title	oscars_number	rating	review_number	review_adjustment	oscar_adjustment	rating_new
A remény rabjai	7	9.3	2531485	0.0	1.0	10.3
A Gyűrűk Ura: A király visszatér	11	8.9	1746877	0.7	1.5	9.700000000000001
A sötét lovag	2	9.0	2481949	0.0	0.3	9.3
Forrest Gump	6	8.8	1953817	0.5	1.0	9.3
A keresztapa	3	9.2	1742776	0.7	0.5	9.0
Eredet	4	8.8	2224616	0.3	0.5	9.0
Ponyvaregény	1	8.9	1949893	0.5	0.3	8.700000000000001
A keresztapa II	6	9.0	1209108	1.3	1.0	8.7
Schindler listája	7	8.9	1293388	1.2	1.0	8.7
Harcosok klubja	1	8.8	1991155	0.5	0.3	8.600000000000001
A Gyűrűk Ura: A gyűrű szövetsége	4	8.8	1768262	0.7	0.5	8.600000000000001
Mátrix	4	8.7	1826683	0.7	0.5	8.5
A Gyűrűk Ura: A két torony	2	8.7	1578322	0.9	0.3	8.1
Hetedik	1	8.6	1553312	0.9	0.3	7.999999999999999
Tizenkét dühös ember	3	9.0	747992	1.7	0.5	7.8
A Birodalom visszavág	2	8.7	1229014	1.3	0.3	7.699999999999999
Száll a kakukk fészkére	5	8.7	969700	1.5	0.5	7.699999999999999
Nagymenők	1	8.7	1094997	1.4	0.3	7.599999999999999
A Jó, a Rossz és a Csúf	0	8.8	731553	1.7	0.3	7.4
A hét szamuráj	2	8.6	334512	2.1	0.3	6.8
